リンク,仕事内容,必要なスキル・経験
https://www.green-japan.com/company/5042/job/202038,"
当社は「日本の全世代を活性化する」をmissiに地方創生を目指しているit企業です。

2011年8月の創業から成長を続け、
2022年12月27日には東証グロース市場へ上場いたしました。

更なる飛躍を求め、地方エンジニアの活性化を行っています。
フルリモートで東京の案件を経験して、全国のエンジニアが東京水準の技術で
フルスタックエンジニアを目指しています。

我々は、地方でも最新技術のができるよう、
また、エンジニアになりたいという若手を増やせるよう、
itと人材の活性化で地方創生を目指します。

基本的にはエンドから直接請け負うため、上流からの参画も可能で、
エンジニアとしてのキャリアップも図れます。

現在は、go言語、java、php、ruby、pythの案件が多く、
様々な言語の習得が可能です。


■ブランド等のリストアプリに伴う案件（go言語）
■ポイントシステム、経理報告システムの追加、改修、業務（pyth）
■某大手ecサイト（java）
■某動画配信プラットフォーム（ruby）
■fintechサービス（ruby、php）


■2018年、アジアで活躍する企業100を受賞！
■「job creati」受賞！（雇用創出効果の高い企業を表彰するもの）
■2022年12月27日に「東証クローズ市場へ上場」いたしました！
■完全週休二日制（土日休み）、万が一休日出勤になった場合は代休とれます。 
■現在の福利厚生のほとんどは、社員が作ってきたもの!会社作りに携わることが出来ますよ！",dx化支援を通じて、生産性向上を目指す企業に最適な人材を提供します。全国のネットワークを活用し、企業のdxニーズに合った人材を調達・提案します。
https://www.green-japan.com/company/6883/job/241284,"サービス
「本気で課題に挑む人たちと、事業を通して社会にポジティブなアップデートを仕掛けていくこと」

sun terrasは、エンジニアリングで社会に新たな価値を提供することを目指しています。
クライアントの課題に真摯に向き合い、
様々なサービスラインにより柔軟な支援をしていくことで社会をもっと便利に、豊かにアップデートします。

また、sun terrasは人とテクノロジーの可能性を信じて、可能性の種を育てアップデートし続ける企業を目指しています。


digital.exeは3つの事業で構成されています。

■tech bridge unit
課題に真摯に向き合えるチームとしてエンジニアの技術力をスピーディーかつ安定的に提供し、
中長期的に高水準で柔軟なシステム・保守・や、体制の構築・サポートを行います。

■teched unit
dxの理解・プログラミング・オンライン研修を通じて、デジタル化に伴って必要となった
スキルを従業員に身につけてもらうことで、業務効率化やdx推進のサポートを行います。

■engage sphere unit
crm多くの市場でトップシェア＆国内6000社以上の導入実績を誇るsalesforceを
ロー・ノー・プロコードを駆使して効果的に使いこなし、優れた顧客体験が実現されるように事業を推進します。


チームとしては、スタートアップからエンタープライズまで幅広いクライアントと
直接話をしながら課題の洗い出し〜要件定義〜設計〜〜リリースまで担当しています。

プロジェクト事例
■概要
小売業向け店舗解析サービスサーバーサイド

■内容
ディープラーニングをはじめとするaiを活用し、小売・流通向けのb2bsaasや
製造業向けaiプラットフォーム事業を展開するエンド企業が運営している
aiを活用した店舗解析サービスに携わって頂きます。


言語：pyth 3.x  go typescript 
環境linux  docker  aws  gcp

歩めるキャリアパス
限定的な業務やキャリアパスではなく、柔軟で幅広いキャリアパスを用意しています。

  スペシャリストへ
「技術を極めたい」「エンジニアとしてプロフェッショナルになりたい」という方に最適です。
マネジメントには関わらずひたすら技術力を上げていくことができます。

  チームリーダーへ
徐々に業務の幅を広げていただきゆくゆくは3∼5名程度のチームのリーダーとして自身も手を動かしながらメンバーのマネジメントや後輩育成に携われます。

上記以外にもエンジニア職からビジネスサイド、新規事業へのチャレンジも可能です。
エンジニア経験者ならではの視点や知識を活かし事業戦略や組織醸成、新規事業立ち上げに関わり、さらなるキャリアアップを実現しましょう！

環境の一例
・言語php、ruby、pyth、swift、java、javascript、typescript、apex
・フレームワークreact、vue.js、ruby  rails
・データベースmysql、postgresql、oracle
・その他aws、gcp、docker、apache、github、redmine、slack
※使用言語等はプロジェクトによって異なります。

携わるプロダクトイメージ
・大手モバイル企業のユーザー向けシステム
・ヘルスケア系のecサイト
・大手女性向けメディア　　",aiを活用し、小売業界の店舗データ解析で顧客体験を革新するサービスです。ディープラーニング技術で小売業界のb2b saasシステムを強化し、店舗解析を行います。
https://www.green-japan.com/company/8527/job/236431,"◆リモート率9割◆子育て中社員は24％◆既婚社員は44％◆ライフワークバランス特化◆

弊社は平均年齢38歳、平均it歴11年で一番短い方で5年目です。
エンド企業からの信頼を得るため経験者のみに特化することで、『商流を浅く・単価を高く・給与を上げる！』を実現している点が特徴であり、エンジニアは同じ工程を長年担当するわけではなく、
製造詳細設計基本設計要件定義plpmとステップアップできる点が他社と大きく異なります。

■当社のコンセプト■
itエンジニアのスキルに対して適切に還元するために商流を浅くし、
単価を上げる事で給与を上げる。

＊＊＊上記コンセプトのもとで手がけていただく案件の特長＊＊＊
★エンド直接取引・大手sier案件が豊富
★エンド案件平均単価は100万円
★常時3000案件からエンジニア本人が案件を選択可能
★案件は中規模～大規模が中心
★～設計～要件定義やpl・pmスキルに合わせた工程を選択可能
★言語ごとのチーム制でスムーズなキャッチアップ
★プロジェクト期間は6ヶ月～2年以上まで様々
小規模案件では学べない事が多いという観点から、
30人月（5名チーム×6ヶ月）～120人月（20名チーム×6ヶ月）で
数千万円〜数億円規模の大きなプロジェクトをターゲットとしています。

＊＊＊プロジェクト例＊＊＊
≪系≫
　◆動画配信サービスのバックエンド
　◆大手向けbtobクラウドサービス
　◆株式自動売買システムの企画、設計、
　◆大規模通販サイトの設計、　
≪マネジメント系≫
　◆通信会社様カードシステム基本構想策定支援
　◆不動産管理会社向けdxを推進管理システム
　◆保険会社it部門側の基幹システム刷新プロジェクト　

業務内容。
pythによるweb(製造、詳細設計、基本設計、要件定義)を担当して頂きます。
・言語：pyth(django、flask)、javascript(reactvue.js)等
・データベース：mysql mgodb postgresql、redis、bigquery等
・インフラ・ミドルウェア：aws (ecs lambda rds etc)、terraform、docker等

☆当社の営業は『エンジニアの成長』も営業目標として取り組みます。
当社では営業スタッフの目標に『エンジニアの成長＝単価アップ』を組み込んでいます。
だからこそ、短期プロジェクトの連続であなたのスキルシートを
まとまりのないものにするようなことはしませんし、
プロジェクト内で急に別工程を任されるような場合でも、
スキルに見合った単価になるように交渉します。

また、リモート勤務の柔軟な働き方を推進し、
公私にわたって思い通りの環境を作っていける体制も整えており
残業は月平均7時間程度で、土日休みの年間休日125日、
既婚者や子育て中の社員も多く在籍中です。

キャリアアップとプライベートの充実を両立できる当社で
新しいスタートを切りませんか？",ses業界の構造を打破し、高還元率とスキルアップを保障する革新事業です。強力な営業力で高単価なエンド直取引を実現し、案件選択の自由度を提供します。
https://www.green-japan.com/company/5153/job/252040,"★100000件以上の膨大なキャリアデータベースを元に、未来のキャリアを追求★

◎『make engineers happy』圧倒的にエンジニアのキャリアに寄り添ったサポート体制！
弊社の強みはこれまでのエンジニアに特化した転職・独立支援等のキャリア形成⽀援をしてきたノウハウを活かして、専属の伴走者であるキャリアコンサルタントがマンツーマンでフォロー。
スキルだけでなく、マインドや将来の希望に合った仕事をお任せしていきます。
※最先端の技術を⽤いたプロジェクトから、スキルアップが望めるプロジェクトまで、幅広くお選びいた だきます。

◎キャリア設計の土台を支える豊富なプライム案件数
⼤⼿⼈材会社や⼤⼿it企業をはじめとした500社以上と取引し、様々なご依頼をいただいています。
豊富な取引先と実績から満足のいく案件への参画が可能です！

１、itコンサルティング
に入る前のグランド・デザインから参画します。
ビジネス目標の達成に重点を置いたコンサルティングを行い、現状分析を基にしたシステムや技術を提案しています。

２、システム
業務の仕組みを創るためのシステムを提供。
機器の導入や単なるプログラミングを行うのではなく、クライアントの立場に立った、システムを行います。

３、保守・
クライアントファーストな保守・サポート。
クライアントの立場になり、システムやサービスを稼働させるための保守・によるサポートを行っています。

４、eコマース
eコマース向けのサイト・バックオフィス機能の構築。
「お客さまの役に立つということ」をモットーに、幅広い表現力と豊富なノウハウでお客さまの悩みを解決致します。


プロジェクト例〈言語：pyth〉
・画像処理・サーバー設計
・テスト自動化
・自社動画配信サービス会社のweb全般
・大規模動画配信サービスのアプリのバックエンド
・社内向けsfa・crmツールの……ほか多数

環境例
言語：pyth
fw：django 
db： postgresql  sql server
ツール：aws  terraform

キャリア形成イメージ
・まずはスキルアップ、スキルチェンジしたい！
　⇛豊富な案件から最適なキャリア形成が目指せます。
・幹部候補として、当社で新しい働き方を一緒に作っていきましょう！
　⇛０から生み出したい方にピッタリな働き方です。
・フリーランスとして独立！
　⇛フリーランスとして活動するまでサポートします。",フロントエンドエンジニア
https://www.green-japan.com/company/4969/job/282837,"

大手企業を中心とした業務システムやwebサービスの案件に参画していただきます。
javaやpythを中心としたモダンな技術環境で、要件定義・設計・実装・テスト、スキルと希望に応じた工程をお任せします。

案件はエンド直で顧客と直接コミュニケーションが取れる環境です。


・既存vbやaccessのレガシーシステムをjava／spring bootでweb化
・pyth／fastapiを使ったデータ可視化ツールの
・typescript（react）によるuiの設計・実装
・クラウド（aws／gcp）を使った環境構築支援
・設計書作成やコードレビューチーム体制でのpj推進

プロジェクト例

 生成ai活用プロジェクト 

業務内容 九州企業向け業務効率化aiシステムの構築
使用技術 azure openai、gpt4、画像・音声解析技術
担当範囲 poc環境構築から実証実験、本番導入まで
 顧客管理システム再構築プロジェクト 

業務内容 既存顧客管理システムの刷新および機能追加
使用技術 java、springboot、aws、typescript
担当範囲 要件定義、設計、製造、テストまで一貫して対応
 モバイルアプリプロジェクト 

業務内容 九州企業の顧客向けアプリ・改善
使用技術 モダンなアプリ技術、クラウドバックエンド
担当範囲 企画段階からの参画、、改善サイクル",事業会社向けにサービス、システムを担当いただきます。企画・設計・を担当いただき、プロジェクト単位での支援ではなく、中長期でご担当いただきます。
https://www.green-japan.com/company/1606/job/282972,"

大手企業を中心とした業務システムやwebサービスの案件に参画していただきます。
javaやpythを中心としたモダンな技術環境で、要件定義・設計・実装・テスト、スキルと希望に応じた工程をお任せします。

案件はエンド直で顧客と直接コミュニケーションが取れる環境です。


・既存vbやaccessのレガシーシステムをjava／spring bootでweb化
・pyth／fastapiを使ったデータ可視化ツールの
・typescript（react）によるuiの設計・実装
・クラウド（aws／gcp）を使った環境構築支援
・設計書作成やコードレビューチーム体制でのpj推進

プロジェクト例

 生成ai活用プロジェクト 
業務内容 九州企業向け業務効率化aiシステムの構築
使用技術 azure openai、gpt4、画像・音声解析技術
担当範囲 poc環境構築から実証実験、本番導入まで

 顧客管理システム再構築プロジェクト 
業務内容 既存顧客管理システムの刷新および機能追加
使用技術 java、springboot、aws、typescript
担当範囲 要件定義、設計、製造、テストまで一貫して対応

 モバイルアプリプロジェクト 
業務内容 九州企業の顧客向けアプリ・改善
使用技術 モダンなアプリ技術、クラウドバックエンド
担当範囲 企画段階からの参画、、改善サイクル",大手企業を中心にdxの内製支援をする「0次dx」を展開し、戦略策定のフェーズから、システム・保守のフェーズまで一気通貫でサービス提供しています。
https://www.green-japan.com/company/6153/job/80286," 仕事内容 
・大規模ec基盤のやその周辺プロダクトのをしていただきます。
　既存ecサイトのヘッドレスコマース化や、omo対応、まだ事例が少なく難易度の高いや、国内事例が少なく海外でのシェアが高いパッケージを利用したecサイトを主軸としております。

店舗とオンラインショップで同じユーザー体験を実現させるomo(line merges with offline)に力を入れる企業が増えており、「店舗とオンラインショップの顧客データの一元化」「基幹システムとの売上連携」の重要性が上がっています。

これを実現させるには、高度な技術力と設計力が求められます。

クライアントごとに抱える課題が異なるため、同じようなを繰り返すことはほとんどなく、常に新しいことに挑戦できる環境です。

正解がない中でシステムとしての”あるべき姿”を模索し続けていく難しさはありますが、それこそがエンジニアリングの醍醐味といえます。

＜実績＞
francfranc様／旺文社様／駿台様／momo natural様／電通様
のコーポレートサイト・ecサイト・webアプリケーションを作成しています。


 環境 
言語  typescript  kotlin  php  pyth  graphql
フレームワーク  react  spring boot  magento2
インフラ  aamaz web service  netlify  aws cloudwatch シリーズ  terraform  github actis
ツール  github  slack  redmine  miro  google meet  notepm  visual studio code  intellij idea

最近では中〜大規模のプロダクトが多く、kotlinspring bootのバックエンド、typescriptreactのフロントエンドが多いです。
graphqlを取り入れて、rails(graphql) apiサーバ  フロントエンド(react  sass)のような形で、フロントとバックエンドを分離して、デザイン、uiの実装変更容易性に取り組んでるプロダクトもあります。


 の特徴 
・言語はお客様からの指定がない限り、エンジニアを主体に決定していきます。
・モダンな技術や言語にも積極的にアプローチしているので、挑戦したい技術・言語があれば積極的に提案してください。
・個人の特性を考慮して案件を振り分けますが、新規と保守のプロジェクトを1つずつもつメンバーが多いです。
・領域も柔軟に相談できるので、フロントエンドからサーバサイドまで幅広い技術を習得できます。
・エンジニア同士はもちろん、ディレクター、デザイナーと連携を取りながら、プロダクトのに取り組んでいただきます。",先進技術でオンラインショップのユーザー体験を革新するecを提供します。ヘッドレスコマースやomo戦略を駆使し、顧客の新たな価値創造を目指します。
https://www.green-japan.com/company/2252/job/267567,"グローバルウェイではコンサルティングから要件定義、基本設計、詳細設計、テスト、・保守までの一気通貫を幅広く経験してフルスタックエンジニアとして成長して頂きます。
一次請けですることを大事にしており、100％自社内でチームを行う環境です。

awsやgcpをはじめとした、クラウド・プラットフォーム上を用いプログラムをしております。プログラムの具体的な言語としては、pyth利用しており、クラウド・プラットフォームとプログラムを組み合わせ、製品として様々な法人のお客様へ提供しております。

今回のポジションでは、入社後、基本はシステムとなります。
希望があれば保守からでも可能です。ご自身のスキルや適性に合った業務からスタートし、徐々にステップアップできるチャンスです。入社後、保守フェーズから入り、社内や案件等に慣れていただいてから、周囲のフォローを受けて徐々に上流工程にチャレンジ頂けます。

■実績
・通信事業会社 カスタマーポータルとapi基盤の構築 5億円程度（3年間の追加機能含む）
・健康機器メーカー 健康データサービスapi基盤の構築 4億円程度（3年間の追加機能含む） 
・個別指導塾 請求⼊⾦管理システムの構築 3億円程度（保守含め3年間のプロジェクト）


・言語フレームワークpythdjangovue.jsvs codedocker
・インフラawsgcp
・プロジェクト管理 jira 、cfluence
・コミュニケーションツール teams
・ファイルストレージ：box
・pj工数：チームスピリット、チームスピリットリーダーズ

■チーム体制で業務、手法について
vue.js（フロント）＋django（バックエンド）を用いたwebアプリケーション
マネージャー：リソース管理、顧客提案（見積・価格調整）
└リーダー：対顧客仕様調整、pjの課題管理、進捗管理
└メンバー（２～５名）：設計・製造・試験

（変更の範囲）
会社の定める業務
※年2回の評価制度により本人が望むキャリアに沿って上長と相談のうえ決定していきます
（2024年4月1日施行　改正職業安定法施行規則に則って表記しております）",一次請けですることを大切にしており、100％自社内でチームを行う環境で、コンサルティングから要件定義、、保守まで一気通貫のを経験することができます。
https://www.green-japan.com/company/9950/job/239737,"sesエンジニアとして顧客のプロジェクトに参画し、業務等の作業に携わっていただきます。
プロジェクト先は、本人のご経験やキャリアビジョンに応じて適切な現場へのアサインとなりますので、ご安心ください。

▍フェーズ
要件定義、基本設計、詳細設計、製造、単体テスト、結合テスト、総合テスト、保守
プロジェクトにより工程も様々ですが、あなたのお得意なフェーズやチャレンジしたい工程に合わせてスタートが可能です。

▍環境
言語フレームワーク等
・サーバサイド
pyth、django、java、spring、springboot、struts、golang、scala、swift、kotlin、unity、vb.net、c#、c、flutter...

・フロントエンド
javascript、typescript、vue.js、nuxt.js、react.js、next.js、angular.js、jquery...

・環境等
aws、azure、gcp、windows、linux、oracle、mysql、postgresql...

▍業界や業種
業界や業種は幅広く対応しており、顧客規模も大手から中小のベンチャー企業まで様々です。

▍本ポジションの魅力
お客様先の環境にて、着実にスキルアップが図れることが魅力です。
最新技術に触れる、習得したいスキルが身に付く、なりたいポジションの経験が積めるあなたの描くキャリアビジョンに応じて成長していくことが可能です。
また営業のサポートも手厚く行っておりますので、業務での相談事やキャリアパスについても随時すり合わせができる安心感がございます。

▍セイルの魅力
◎やりたい仕事が叶う　★入社理由1位！
当社ではエンジニアの希望を最優先にしています。
常時2000件以上の案件からあなたがやりたい案件を選択可能な環境です。
理想のキャリアビジョンに近づけるようスキルアップを優先したり、稼働安定やリモート勤務、働きやすさ重視で案件を選ぶのもokです！

◎営業のサポートが充実している
プロジェクト参画が決まると専任の担当営業がフォローさせていただきます。
定期的な11ミーティングを実施し、稼働状況の把握や人間関係の相談にも丁寧に対応しております。
最適な案件提案やキャリアアドバイスも行なっていますので、プロジェクトを切り替えたい際もご相談ください。

◎ワークライフバランスを大切にできる
年間休日127日・有休取得率8割・リモート案件7割以上・平均残業時間は月4h程と働きやすい環境を整えています。
稼働時間に関しても担当営業が管理をしており、高稼働が続いている際は、現場へ調整依頼を出す等、コントロールをしております。
プライベートも充実させ、家族・趣味・勉強の時間も大事にできる環境です。",常駐型システム支援を通じて、様々な業界と業種のプロジェクトに携わります。希望する案件を選び、スキルアップを支援される環境でエンジニアとして成長できます。
https://www.green-japan.com/company/5007/job/239481,"
全国自治体や官公庁に導入いただいている自社サービスのを幅広くお任せします。
具体的には、電子申請ソリューションや子育て支援事業の企画、をご担当いただきます。

具体的な仕事内容
■pyth、go、typescriptでしている、自社サービスの新規機能、、保守


◎itaiを使った国や自治体へ向けて自社パッケージのweb系ソリューションを展開しています。
国や自治体に向けてサービスを提供するため、大規模データ処理に耐えうるサーバー、通信技術、セキュリティ技術、最新技術を身につけていただける環境です。一般ユーザー・一般企業向けのサービスでは行わないレベルのセキュリティ要件を満たす必要があります。
◎言語やフレームワーク、メソッドも特に決まりはありません。特性に応じて適切なものを選ぶことができます

社内の雰囲気
自由でフラットな社風で役職や担当プロジェクトにかかわらず意見を出し合っています。エンジニアは、リモート勤務可能、かつ勤務時間はフレックスタイム制です。社内のコミュニケーションはslackで柔軟に行っています！パソコンやモニターも好きなものを選択することができますので、ご自身の希望の環境を整えられます。

ここが魅力！
これまで世に出回っていない、社会貢献性の高いプロダクトを扱っています。
社内には技術志向も、プロダクト志向も高いメンバーがおり、技術を試せる環境が整っています。要件定義、技術選定から行うことができるため、自分の意見をプロダクトに反映させやすく裁量が大きいところが特徴です。

子育て支援事業子育てモバイル
自治体向けサービスとして、地域の子育て世代に対し便利な機能・情報を提供するシステムです。300を超える自治体に導入されております。
予防接種スケジューラ・電子母子手帳のパイオニアとして、省庁や自治体と今後子育て世代に取り組まれており、仕組みにいち早く関わりながら進めていける面白さがあります。
・自治体への導入数はトップシェアで自治体を通じた新しいサービスを次々に展開
・子育て×予約システム×電子申請がコロナ対策として非常にマッチし需要大
・マイナンバーと連携したサービス、自治体サービスのプラットフォームとなる仕組みや展開

milae 予防接種
医療機関でデジタル予診票の入力・署名や予防接種記録の確認ができるシステムです。
自治体・医療機関・保護者の三者間で連携することで、自治体や医療機関の業務の効率化を図り、各者の負担を軽減に役立てています。",フロントエンドエンジニア
